Book_ID	Reservation_Date	Checkout_Date	Return_Date	Member_ID
1	30/07/2022	---	---	5954
1	---	28/07/2022	---	7943
1	---	09/06/2022	22/07/2022	9142
1	---	23/04/2022	24/05/2022	7045
1	---	29/03/2022	18/04/2022	1677
1	---	05/02/2022	28/03/2022	1830
1	---	05/01/2022	06/01/2022	4759
2	29/08/2022	---	---	1600
2	---	10/07/2022	---	8319
2	---	25/06/2022	30/06/2022	6199
2	---	20/05/2022	15/06/2022	7022
2	---	29/04/2022	30/04/2022	4647
2	---	10/03/2022	12/02/2022	1899
2	---	24/02/2022	04/03/2022	8992
2	---	17/02/2022	22/02/2022	4283
2	---	25/02/2022	16/03/2022	9897
3	---	23/08/2022	---	5420
3	08/10/2022	---	---	1352
3	---	02/07/2022	01/08/2022	3076
3	---	07/05/2022	27/06/2022	6973
3	---	24/04/2022	06/05/2022	4761
3	---	19/02/2022	04/07/2022	9863
4	---	16/06/2022	23/08/2022	3298
4	---	09/04/2022	26/05/2022	4627
5	26/07/2022	---	---	2128
5	---	02/04/2022	---	7176
6	---	29/05/2022	---	2143
6	19/09/2022	---	---	5545
6	---	06/01/2022	14/02/2022	9031
7	---	28/05/2022	---	4806
7	---	19/03/2022	10/04/2022	8528
7	---	19/01/2022	19/02/2022	3470
7	09/10/2022	---	---	1902
8	---	25/06/2022	07/07/2022	1736
8	---	23/06/2022	25/06/2022	2217
8	---	09/05/2022	20/06/2022	5894
8	---	04/04/2022	04/05/2022	3463
8	---	07/03/2022	13/03/2022	2440
8	---	13/02/2022	01/03/2022	1034
8	---	30/01/2022	07/02/2022	7813
9	---	14/08/2022	02/09/2022	6102
9	---	15/07/2022	24/07/2022	2127
9	---	31/05/2022	20/06/2022	9540
9	---	30/03/2022	02/04/2022	2313
10	---	08/04/2022	26/05/2022	2753
10	---	22/02/2022	17/03/2022	1780
10	---	01/02/2022	18/02/2022	9094
10	---	25/01/2022	01/02/2022	6571
10	---	12/12/2021	01/01/2022	3892
11	---	10/03/2022	24/03/2022	5917
11	---	11/02/2022	12/02/2022	7887
11	---	05/01/2022	23/01/2022	1070
12	29/06/2022	---	---	7783
12	---	26/05/2022	---	3246
12	---	26/03/2022	31/04/2022	8913
12	---	29/02/2022	22/03/2022	9054
13	21/07/2022	---	---	6806
13	---	20/06/2022	---	8747
13	---	29/04/2022	21/05/2022	9680
13	---	23/03/2022	16/04/2022	4270
13	---	20/01/2022	14/02/2022	6886
13	---	20/12/2021	17/01/2022	7693
15	26/09/2022	---	---	8348
15	---	24/07/2022	---	5001
15	---	31/06/2022	06/07/2022	6060
16	---	09/05/2022	26/06/2022	4012
16	---	26/03/2022	16/04/2022	6941
16	---	15/02/2022	13/03/2022	2935
16	---	25/01/2022	07/02/2022	1663
17	---	04/06/2022	16/07/2022	9082
17	---	30/04/2022	14/05/2022	1223
17	---	26/03/2022	22/04/2022	5482
17	---	25/02/2022	21/03/2022	3346
17	---	28/01/2022	02/02/2022	3089
18	---	19/02/2022	03/05/2022	2992
18	---	24/12/2022	20/01/2022	7669
19	---	19/03/2022	25/04/2022	2220
19	---	15/02/2022	11/03/2022	3410
19	---	26/11/2022	27/01/2022	1877
20	---	14/06/2022	18/10/2022	2497
20	---	05/06/2022	11/06/2022	6638
20	---	12/05/2022	28/05/2022	2959
20	---	25/04/2021	09/05/2022	7099
20	---	16/03/2022	11/04/2022	6206
21	05/06/2022	---	---	9384
21	---	10/04/2022	---	8174
21	---	10/03/2022	05/04/2022	6189
21	---	21/02/2022	03/03/2022	9976
21	---	04/01/2022	08/02/2022	8606
22	---	20/08/2021	06/09/2022	9531
22	---	27/06/2022	11/07/2022	3156
22	---	26/04/2022	30/05/2022	8033
22	---	31/03/2022	21/04/2022	3960
22	---	13/01/2022	27/02/2022	6033
23	---	07/05/2022	24/08/2022	3303
24	---	17/04/2022	01/07/2022	8169
25	21/06/2022	---	---	4310
25	---	19/06/2022	---	2423
25	---	02/05/2022	23/05/2022	7952
25	---	01/03/2022	03/04/2022	9052
25	---	27/01/2022	21/02/2022	4997
26	---	31/03/2022	15/07/2022	6934
26	---	06/12/2022	20/01/2022	2805
27	---	27/12/2022	08/08/2022	3568
28	---	13/05/2022	08/09/2022	6939
28	---	15/03/2022	05/04/2022	4342
28	---	26/01/2022	03/02/2022	5071
29	---	02/06/2022	14/09/2022	9489
29	---	05/01/2022	09/05/2022	4434
30	---	31/07/2022	10/08/2022	9770
30	---	04/05/2022	16/06/2022	7901
30	---	05/04/2022	29/04/2022	4718
30	---	21/02/2022	15/03/2022	7950
30	---	10/12/2021	19/01/2022	6452
31	---	10/09/2022	27/10/2022	9833
31	---	04/01/2022	23/08/2022	9047
32	21/09/2022	---	---	2138
32	---	13/07/2022	---	6290
32	---	07/06/2022	14/06/2022	8446
32	---	27/04/2022	18/05/2022	6099
33	29/10/2022	---	---	6608
33	---	27/07/2022	---	4256
33	---	12/05/2022	01/06/2022	7669
33	---	12/04/2022	01/05/2022	2997
33	---	24/02/2022	13/03/2022	4887
33	---	03/01/2022	01/02/2022	1487
34	---	14/05/2022	05/09/2022	2719
34	---	13/04/2022	07/05/2022	4049
34	---	15/02/2022	17/03/2022	5249
34	---	22/01/2022	06/02/2022	8697
34	---	13/12/2021	13/01/2022	8750
35	---	25/04/2022	14/05/2022	1203
35	---	19/03/2022	24/03/2022	3414
35	---	04/02/2022	26/02/2022	3846
35	---	27/01/2022	30/01/2022	2985
36	---	30/07/2022	15/10/2022	2094
36	---	26/05/2022	17/06/2022	6810
36	---	23/04/2022	18/05/2022	2708
36	---	06/03/2022	05/04/2022	6714
36	---	05/01/2022	29/02/2022	5112
37	23/07/2022	---	---	7576
37	---	01/07/2022	---	5063
37	---	01/03/2022	26/04/2022	4552
37	---	28/01/2022	11/02/2022	4601
38	08/09/2022	---	---	1529
38	---	08/05/2022	---	7419
38	---	01/03/2022	28/03/2022	7657
38	---	10/02/2022	25/02/2022	4435
38	---	05/01/2022	21/01/2022	5875
39	16/09/2022	---	---	8723
39	---	27/08/2022	---	6002
39	---	27/01/2022	22/02/2022	8759
40	17/10/2022	---	---	5432
40	---	09/09/2022	---	9534
41	06/08/2022	---	---	3581
41	---	18/06/2022	---	6612
41	---	18/04/2022	18/05/2022	9606
41	---	04/02/2022	08/03/2022	3963
42	01/07/2022	---	---	9451
